날짜,Negative,Positive,X_t,nsi,Negative_percent,Positive_percent
2021/07/19,672.0,268.0,-0.4297872340425532,85.272,0.7148936170212766,0.2851063829787234
2021/07/20,644.0,291.0,-0.3775401069518717,89.798,0.6887700534759358,0.31122994652406416
2021/07/21,972.0,795.0,-0.100169779286927,113.629,0.5500848896434635,0.44991511035653653
2021/07/22,1170.0,996.0,-0.0803324099722991,115.268,0.5401662049861495,0.4598337950138504
2021/07/23,1165.0,1009.0,-0.0717571297148114,115.929,0.5358785648574057,0.4641214351425943
2021/07/24,1299.0,1104.0,-0.0811485642946317,115.06,0.5405742821473158,0.45942571785268416
2021/07/25,1458.0,1434.0,-0.0082987551867219,121.137,0.504149377593361,0.495850622406639
2021/07/26,1643.0,1587.0,-0.0173374613003096,120.232,0.5086687306501548,0.4913312693498452
2021/07/27,1716.0,1661.0,-0.01628664495114,120.186,0.50814332247557,0.49185667752442996
2021/07/28,1704.0,1316.0,-0.1284768211920529,110.682,0.5642384105960265,0.4357615894039735
2021/07/29,1702.0,1229.0,-0.1613783691572842,107.887,0.580689184578642,0.4193108154213579
2021/07/30,1739.0,1258.0,-0.1604938271604938,107.945,0.5802469135802469,0.41975308641975306
2021/07/31,1653.0,1179.0,-0.1673728813559322,107.349,0.5836864406779662,0.4163135593220339
2021/08/01,1538.0,891.0,-0.2663647591601482,98.979,0.6331823795800741,0.3668176204199259
2021/08/02,1423.0,794.0,-0.2837167343256653,97.513,0.6418583671628326,0.3581416328371673
2021/08/03,1310.0,690.0,-0.31,95.292,0.655,0.345
2021/08/04,946.0,499.0,-0.3093425605536332,95.355,0.6546712802768166,0.3453287197231834
2021/08/05,828.0,472.0,-0.2738461538461538,98.373,0.6369230769230769,0.3630769230769231
2021/08/06,835.0,446.0,-0.3036690085870414,95.842,0.6518345042935206,0.3481654957064793
2021/08/07,797.0,433.0,-0.2959349593495935,96.506,0.6479674796747967,0.35203252032520327
2021/08/08,790.0,422.0,-0.3036303630363036,95.856,0.6518151815181518,0.3481848184818482
2021/08/09,714.0,360.0,-0.329608938547486,93.651,0.664804469273743,0.33519553072625696
2021/08/10,683.0,349.0,-0.3236434108527132,94.17,0.6618217054263565,0.3381782945736434
2021/08/11,747.0,351.0,-0.360655737704918,91.027,0.680327868852459,0.319672131147541
2021/08/12,647.0,250.0,-0.4425863991081382,84.094,0.7212931995540691,0.2787068004459309
2021/08/13,673.0,246.0,-0.4646354733405876,82.305,0.7323177366702938,0.2676822633297062
2021/08/14,725.0,272.0,-0.4543630892678034,83.259,0.7271815446339017,0.2728184553660983
2021/08/15,679.0,250.0,-0.4617868675995694,82.715,0.7308934337997847,0.2691065662002153
2021/08/16,692.0,258.0,-0.4568421052631579,83.214,0.728421052631579,0.27157894736842103
2021/08/17,698.0,258.0,-0.4602510460251046,83.008,0.7301255230125523,0.2698744769874477
2021/08/18,671.0,273.0,-0.4216101694915254,86.314,0.7108050847457628,0.2891949152542373
2021/08/19,800.0,318.0,-0.4311270125223613,85.567,0.7155635062611807,0.2844364937388193
2021/08/20,722.0,283.0,-0.4368159203980099,85.148,0.718407960199005,0.281592039800995
2021/08/21,680.0,262.0,-0.4437367303609342,84.63,0.721868365180467,0.2781316348195329
